round,machine,source,note
262,1,lottotapa,
263,1,lottotapa,
264,1,lottotapa,
265,1,lottotapa,
266,2,lottotapa,
267,2,lottotapa,
268,2,lottotapa,
269,2,lottotapa,
270,2,lottotapa,
271,2,lottotapa,
272,2,lottotapa,
273,2,lottotapa,
274,3,lottotapa,
275,3,lottotapa,
276,3,lottotapa,
277,3,lottotapa,
278,3,lottotapa,
279,1,lottotapa,
280,1,lottotapa,
281,1,lottotapa,
282,1,lottotapa,
283,2,lottotapa,
284,2,lottotapa,
285,2,lottotapa,
286,2,lottotapa,
287,2,lottotapa,
288,3,lottotapa,
289,3,lottotapa,
290,3,lottotapa,
291,3,lottotapa,
292,2,lottotapa,
293,2,lottotapa,
294,2,lottotapa,
295,2,lottotapa,
296,3,lottotapa,
297,3,lottotapa,
298,3,lottotapa,
299,3,lottotapa,
300,3,lottotapa,
301,1,lottotapa,
302,1,lottotapa,
303,1,lottotapa,
304,1,lottotapa,
305,3,lottotapa,
306,3,lottotapa,
307,3,lottotapa,
308,3,lottotapa,
309,1,lottotapa,
310,1,lottotapa,
311,1,lottotapa,
312,1,lottotapa,
313,1,lottotapa,
314,3,lottotapa,
315,3,lottotapa,
316,3,lottotapa,
317,3,lottotapa,
318,1,lottotapa,
319,1,lottotapa,
320,1,lottotapa,
321,1,lottotapa,
322,1,lottotapa,
323,3,lottotapa,
324,3,lottotapa,
325,3,lottotapa,
326,3,lottotapa,
327,1,lottotapa,
328,1,lottotapa,
329,1,lottotapa,
330,1,lottotapa,
331,3,lottotapa,
332,3,lottotapa,
333,3,lottotapa,
334,3,lottotapa,
335,1,lottotapa,
336,1,lottotapa,
337,1,lottotapa,
338,1,lottotapa,
339,1,lottotapa,
340,3,lottotapa,
341,3,lottotapa,
342,3,lottotapa,
343,3,lottotapa,
344,1,lottotapa,
345,1,lottotapa,
346,1,lottotapa,
347,1,lottotapa,
348,3,lottotapa,
349,3,lottotapa,
350,3,lottotapa,
351,3,lottotapa,
352,3,lottotapa,
353,1,lottotapa,
354,1,lottotapa,
355,1,lottotapa,
356,1,lottotapa,
357,2,lottotapa,
358,2,lottotapa,
359,2,lottotapa,
360,2,lottotapa,
361,2,lottotapa,
362,3,lottotapa,
363,3,lottotapa,
364,3,lottotapa,
365,3,lottotapa,
366,1,lottotapa,
367,1,lottotapa,
368,1,lottotapa,
369,1,lottotapa,
370,3,lottotapa,
371,3,lottotapa,
372,3,lottotapa,
373,3,lottotapa,
374,3,lottotapa,
375,1,lottotapa,
376,1,lottotapa,
377,1,lottotapa,
378,1,lottotapa,
379,3,lottotapa,
380,3,lottotapa,
381,3,lottotapa,
382,3,lottotapa,
383,1,lottotapa,
384,1,lottotapa,
385,1,lottotapa,
386,1,lottotapa,
387,3,lottotapa,
388,3,lottotapa,
389,3,lottotapa,
390,3,lottotapa,
391,3,lottotapa,
392,1,lottotapa,
393,1,lottotapa,
394,1,lottotapa,
395,1,lottotapa,
396,3,lottotapa,
397,3,lottotapa,
398,3,lottotapa,
399,3,lottotapa,
400,3,lottotapa,
401,2,lottotapa,
402,2,lottotapa,
403,2,lottotapa,
404,2,lottotapa,
405,1,lottotapa,
406,1,lottotapa,
407,1,lottotapa,
408,1,lottotapa,
409,3,lottotapa,
410,3,lottotapa,
411,3,lottotapa,
412,3,lottotapa,
413,3,lottotapa,
414,2,lottotapa,
415,2,lottotapa,
416,2,lottotapa,
417,2,lottotapa,
418,1,lottotapa,
419,1,lottotapa,
420,1,lottotapa,
421,1,lottotapa,
422,3,lottotapa,
423,3,lottotapa,
424,3,lottotapa,
425,3,lottotapa,
426,3,lottotapa,
427,2,lottotapa,
428,2,lottotapa,
429,2,lottotapa,
430,2,lottotapa,
431,1,lottotapa,
432,1,lottotapa,
433,1,lottotapa,
434,1,lottotapa,
435,3,lottotapa,
436,3,lottotapa,
